550,90,140,20,0.7,0.2,0.5,1,1,10
100,100,150,20,0.2,0.5,0.4,0,1,10
1700,100,150,20,0.5,0.5,0.2,1,-1,20
1000,120,150,20,0.2,0.5,0.4,0,1,10
270,200,180,20,0.5,0.4,0.2,1,1,10
1400,200,160,20,0.2,0.3,0.8,0,1,10
780,200,130,20,0.6,0.4,0.3,1,-1,20
50,250,110,20,0.3,0.6,0.7,0,1,10
1600,300,170,20,0.4,0.8,0.2,0,1,10
1000,300,170,20,0.5,0.2,0.7,1,-1,20
200,350,140,20,0.4,0.7,0.3,0,1,10
1700,550,120,20,0.4,0.7,0.4,1,1,10
1600,430,120,20,0.3,0.4,0.5,1,1,300
650,450,170,20,0.1,0.3,0.9,1,1,200
150,500,100,20,0.2,0.6,0.3,1,1,100
1500,650,170,20,0.4,0.6,0.3,0,1,10
1700,750,150,20,0.2,0.7,0.4,0,1,10
1100,550,180,20,0.1,0.6,0.4,1,-1,100
400,600,110,20,0.8,0.2,0.4,1,1,150
850,650,110,20,0.3,0.5,0.9,0,1,10
300,700,180,20,0.3,0.5,0.9,0,1,10
1200,700,180,20,0.5,0.7,0.4,1,-1,20
620,750,140,20,0.8,0.4,0.5,0,1,10
100,760,100,20,0.4,0.8,0.2,1,1,20
1500,850,120,20,0.7,0.2,0.6,1,-1,100
900,850,150,20,0.2,0.7,0.6,1,1,60
650,950,130,20,0.6,0.4,0.8,0,1,10
1700,920,180,20,0.3,0.4,0.7,1,-1,20
1200,980,140,20,0.5,0.5,0.1,0,1,10
300,900,180,20,0.3,0.2,0.9,1,1,70
0,960,100,20,0.4,0.8,0.2,0,1,10
0,0,1920,20,0.0,0.0,0.0,0,1,10
0,0,20,1080,0.0,0.0,0.0,0,1,10
1900,0,20,1080,0.0,0.0,0.0,0,1,10
1900,0,20,50,1.0,1.0,0.0,0,1,10
